id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
4293054;LUXURY IN HYPER CENTRE FOR Garonne;22284399;Laetitia;Bordeaux;Centre ville (Bordeaux);44.8371378240589;-0.5689640025018607;Entire home/apt;125;1;35;24/08/2018;0.88;1;143
4303273;Appartement T3 Bordeaux Ravezies;22337212;Pauline Elodie;Bordeaux;Bordeaux Maritime;44.864977423040166;-0.5719334436984715;Entire home/apt;75;1;0;;;1;0
4307039;Charming apartment dock Salinières;22357628;Nicole;Bordeaux;Bordeaux Sud;44.83505576475782;-0.5659057228203945;Entire home/apt;190;2;0;;;2;0
4309075;Bordeaux Chartrons ;;;;;;;;;;;;;;
Appartement calme;;;;;;;;;;;;;;;
"Parking""";4433732;Audrey;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.85802577665917;-0.5719858777959407;Entire home/apt;59;2;0;;;2;357;
4310301;APPARTEMENT COEUR TRIANGLE D'OR;18353788;Dimitri;Bordeaux;Centre ville (Bordeaux);44.84369211577364;-0.5787489511602748;Entire home/apt;70;1;0;;;1;0
4316036;Comfortable flat in Bordeaux;16395110;Alexandre;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.85334569849167;-0.5721603687815492;Entire home/apt;130;4;3;31/08/2015;0.07;1;0
4320466;T2 ;22431689;Audrey;Saint-Mdard-en-Jalles;Saint-Mdard-en-Jalles;44.86417838131207;-0.7322878104452062;Private room;38;2;13;20/07/2017;0.30;2;0
4320647;Chambre calm proche de tram/bus/com;22432634;Robert;Bordeaux;Bordeaux Maritime;44.86175423613532;-0.5646553083781899;Private room;28;2;19;17/03/2018;0.46;2;131
4331704;Appartement au coeur de Bordeaux;22490591;Annick;Bordeaux;Bordeaux Sud;44.83070586015581;-0.5758547724858284;Entire home/apt;200;5;0;;;1;0
4337309;Appartement T2 53m2 du Palais Ombrière;22519491;Moran;Bordeaux;Centre ville (Bordeaux);44.83794451243794;-0.5696071000163565;Entire home/apt;60;3;8;13/08/2018;0.31;1;0
4346451;chambre hypercentre historique;22563667;Aude;Bordeaux;Centre ville (Bordeaux);44.83949329627737;-0.5698236207353206;Private room;125;2;81;22/03/2017;1.77;2;13
4347528;Coquettes chambres près BORDEAUX;6087321;Pierre;Saint-Mdard-en-Jalles;Saint-Mdard-en-Jalles;44.89153549306285;-0.711256358494911;Private room;35;2;4;25/06/2018;0.11;2;363
4352058;T2 idéal avec Piscine/Parking 55m2;4565512;Jeremy;Bordeaux;Bordeaux Maritime;44.866011408050326;-0.570601223708462;Entire home/apt;55;5;14;08/09/2018;0.30;1;61
4355528;Appart de charme Quai des Chartrons;19366089;Ness;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.855807094831185;-0.5671316760691035;Entire home/apt;85;1;58;27/06/2018;1.24;1;351
